City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,vaini,0,IN,1516462404,52,15.34,74.49,70.6,4.0
87,iqaluit,20,CA,1516460400,53,63.75,-68.52,-2.21,2.24
88,shumikha,68,RU,1516462405,74,55.23,63.28,-2.57,9.37
89,port macquarie,92,AU,1516460400,93,-31.43,152.91,62.6,2.21
90,prado,0,BR,1516462407,95,-17.34,-39.22,80.41,12.33
91,kirkuk,8,IQ,1516462407,66,35.47,44.4,48.64,2.59
92,te anau,0,NZ,1516462068,93,-45.41,167.72,47.11,0.76
93,ewa beach,90,US,1516460220,83,21.32,-158.01,75.2,5.82
94,bethel,1,US,1516459980,70,60.79,-161.76,-2.21,11.41
95,sobolevo,76,RU,1516462408,91,54.43,31.9,26.64,3.38
96,kjollefjord,24,NO,1516462409,96,70.95,27.35,13.9,10.16
97,cagliari,0,IT,1516460100,41,46.38,10.88,42.8,3.36
98,provideniya,76,RU,1516461918,100,64.42,-173.23,24.79,19.66
99,kita,75,JP,1516461600,78,35.76,139.74,44.6,2.24
100,hasaki,75,JP,1516458600,100,35.73,140.83,33.8,1.12
101,san pedro,12,AR,1516462413,53,-33.68,-59.66,86.58,6.85
102,faya,20,SA,1516460400,72,18.39,42.45,62.6,8.05
103,victoria,75,BN,1516458600,88,5.28,115.24,80.6,2.24
104,cidreira,20,BR,1516461862,64,-30.17,-50.22,84.82,8.81
105,vydrino,36,RU,1516462415,58,51.46,104.64,-21.07,6.29
106,ahipara,80,NZ,1516462415,96,-35.17,173.16,68.8,8.75
107,dalby,8,AU,1516456800,73,-27.18,151.26,69.8,11.41
108,dikson,24,RU,1516461838,90,73.51,80.55,-5.95,25.37
109,barrow,56,AR,1516462416,35,-38.31,-60.23,92.56,13.06
110,port elizabeth,1,US,1516460160,41,39.31,-74.98,44.6,10.29
111,kungurtug,24,RU,1516461858,51,50.6,97.53,-14.32,5.39
112,tocopilla,0,CL,1516461872,81,-22.09,-70.2,67.09,4.61
113,fortuna,0,ES,1516460400,45,38.18,-1.13,69.8,11.41
114,shirokiy,80,RU,1516462418,91,53.87,39.17,22.99,10.54
115,yellowknife,90,CA,1516460400,77,62.45,-114.38,-2.21,6.93
116,adrar,0,DZ,1516460400,16,27.87,-0.29,69.8,20.8
117,talnakh,20,RU,1516461966,100,69.49,88.39,-43.25,5.91
118,panaba,44,MX,1516462419,67,21.28,-88.27,71.68,4.05
119,elko,1,US,1516460160,85,40.83,-115.76,21.2,4.7
120,osvaldo cruz,8,BR,1516462421,55,-21.8,-50.88,93.1,9.37
121,lavrentiya,76,RU,1516461987,100,65.58,-170.99,14.8,14.12
122,lebu,20,ET,1516460400,40,8.96,38.73,68.0,13.87
123,orange cove,1,US,1516460160,100,36.62,-119.31,39.2,1.48
124,dunedin,88,NZ,1516462032,98,-45.87,170.5,54.94,2.71
125,conil,92,FR,1516462423,94,44.97,3.72,40.72,15.68
126,mungaa,48,TZ,1516462423,95,-4.97,34.86,65.61,4.72
127,butaritari,0,KI,1516461920,99,3.07,172.79,82.93,16.58
128,moa,88,CU,1516462424,95,20.66,-74.95,72.49,5.06
129,dingle,56,PH,1516461942,87,11.0,122.67,77.08,9.75
130,inongo,20,CD,1516462425,74,-1.93,18.29,83.29,3.27
131,alma,1,US,1516461300,87,40.1,-99.36,32.0,8.05
132,gunnedah,12,AU,1516460400,45,-30.98,150.25,68.0,9.17
133,honiara,20,SB,1516460400,94,-9.43,159.96,75.2,2.26
134,puerto ayora,20,EC,1516460400,69,-0.74,-90.35,78.8,11.41
135,kuzhener,76,RU,1516462428,83,56.81,48.92,7.87,13.96
136,ankang,80,CN,1516462429,84,32.73,108.99,31.59,1.88
137,morro bay,1,US,1516460160,70,35.37,-120.85,44.6,5.23
138,kendari,68,ID,1516462430,95,-3.99,122.52,73.93,2.77
139,yarada,0,IN,1516462430,100,17.65,83.27,76.45,10.6
140,praia,20,BR,1516460400,22,-20.25,-43.81,89.6,5.5
141,gat,0,SN,1516462431,24,14.69,-16.54,89.68,11.16
142,veraval,90,FR,1516460400,81,49.65,0.71,50.0,19.46
143,nanortalik,88,GL,1516461849,92,60.14,-45.24,31.45,40.51
144,broome,75,GB,1516460160,93,52.47,1.45,37.4,3.36
145,marsh harbour,36,BS,1516462433,100,26.54,-77.06,71.05,14.41
146,tarko-sale,8,RU,1516462126,0,64.92,77.78,-44.33,6.02
147,carnarvon,32,ZA,1516461966,9,-30.97,22.13,91.66,13.89
148,burnie,92,AU,1516462110,96,-41.05,145.91,66.78,13.44
149,vestmannaeyjar,0,IS,1516460400,74,63.44,-20.27,28.4,6.93
150,cherskiy,0,RU,1516462435,85,68.75,161.3,-39.43,1.88
151,mayo,90,CA,1516460400,84,63.59,-135.9,8.6,2.89
152,lovington,5,US,1516459800,34,32.94,-103.35,35.6,4.7
153,miri,0,NG,1516461945,21,10.31,9.75,84.51,5.5
154,kokstad,80,ZA,1516462436,90,-30.55,29.42,65.11,1.32
155,hassleholm,90,SE,1516461600,96,56.16,13.77,35.6,3.56
156,muros,75,ES,1516460400,100,42.77,-9.06,50.0,8.05
157,meadow lake,90,CA,1516460400,92,54.13,-108.44,23.0,5.82
158,constitucion,20,MX,1516459560,55,23.99,-104.67,37.4,3.6
159,vilcun,8,CL,1516462441,70,-38.65,-72.23,72.85,3.22
160,oranjestad,40,AW,1516460400,74,12.52,-70.03,84.2,24.16
161,halifax,90,CA,1516460400,93,44.65,-63.58,33.8,19.46
162,port shepstone,68,ZA,1516462442,89,-30.74,30.45,75.64,8.93
163,longyearbyen,40,NO,1516459800,85,78.22,15.63,23.0,9.17
164,mount gambier,8,AU,1516461648,72,-37.83,140.78,64.53,4.79
165,bambous virieux,40,MU,1516460400,88,-20.34,57.76,78.8,0.81
166,ak-dovurak,8,RU,1516462442,44,51.17,90.6,-17.65,1.1
167,barahona,40,DO,1516460400,66,18.21,-71.1,84.2,9.17
168,komsomolskiy,0,RU,1516462026,58,67.55,63.78,-11.53,9.15
169,mandan,1,US,1516461300,87,46.83,-100.89,33.8,9.17
170,borogontsy,20,RU,1516462444,0,62.67,131.17,-49.1,2.59
171,muravlenko,0,RU,1516462444,0,63.79,74.5,-44.78,3.83
172,ustrzyki dolne,76,UA,1516462445,70,49.43,22.59,29.83,4.56
173,sapa,20,PH,1516460400,94,14.32,120.76,78.8,2.24
174,buta,0,CD,1516462446,28,2.79,24.73,93.24,2.89
175,sechura,8,PE,1516462075,79,-5.56,-80.82,75.06,6.02
176,norman wells,90,CA,1516460400,71,65.28,-126.83,5.0,17.22
177,luderitz,44,NA,1516456800,61,-26.65,15.16,77.0,16.11
178,batagay-alyta,48,RU,1516462447,47,67.8,130.41,-30.7,3.49
179,mayor pablo lagerenza,8,PY,1516462448,100,-19.93,-60.77,85.45,5.61
180,sitges,20,ES,1516460400,54,41.24,1.82,64.4,23.04
181,clyde river,20,CA,1516460400,76,70.47,-68.59,-11.21,21.92
182,vao,92,EE,1516462046,93,59.1,26.19,24.66,4.83
183,san patricio,100,PY,1516462450,100,-26.98,-56.83,71.59,1.77
184,namatanai,44,PG,1516462073,100,-3.66,152.44,80.73,5.5
